,Item_Number,file,Correct_Category,Estimated_Category,Max_Softmax_Value,Likelihood,In-vs-Out,In-Likelihood,Out-Likelihood,Estimated-In-vs-Out,Category_Likelihood_Average,Category_Likelihood_Stdev,Category_Sample_Count
0,0,76.png,otter,otter,0.9980084300041199,-25.49688720703125,In,-25.49688720703125,NA,In,-26.42733383178711,5.204813480377197,500.0
0,1,79.png,wolf,wolf,1.0,16.791168212890625,In,16.791168212890625,NA,In,-10.73868465423584,5.345759391784668,499.0
0,2,81.png,tulips,rabbit,0.994878888130188,-23.882522583007812,In,-23.882522583007812,NA,Out,-20.981691360473633,4.4952826499938965,500.0
0,3,39.png,bee,sunflowers,0.6315609216690063,-29.56085205078125,Out,NA,-29.56085205078125,In,-29.804105758666992,5.164310932159424,499.0
0,4,44.png,wolf,wolf,0.9999856948852539,0.61700439453125,In,0.61700439453125,NA,In,-10.73868465423584,5.345759391784668,499.0
0,5,22.png,sunflowers,sunflowers,1.0,-44.80387878417969,In,-44.80387878417969,NA,Out,-29.804105758666992,5.164310932159424,499.0
0,6,53.png,palm,palm,1.0,-36.769287109375,In,-36.769287109375,NA,Out,-28.884105682373047,4.149149417877197,500.0
0,7,99.png,butterfly,mushrooms,0.9604636430740356,-21.032516479492188,Out,NA,-21.032516479492188,In,-24.507596969604492,4.159605026245117,500.0
0,8,28.png,skyscraper,skyscraper,0.9999998807907104,-1.5449371337890625,In,-1.5449371337890625,NA,In,-26.345703125,4.597774982452393,499.0
0,9,52.png,tractor,tractor,1.0,-40.556427001953125,In,-40.556427001953125,NA,Out,-26.066312789916992,4.362990856170654,499.0
0,10,56.png,oak,pine,0.7809476852416992,-12.98931884765625,In,-12.98931884765625,NA,In,-27.232725143432617,4.399219036102295,500.0
0,11,31.png,pickup truck,pickup truck,0.9999785423278809,-34.199737548828125,In,-34.199737548828125,NA,Out,-20.819408416748047,4.42878532409668,499.0
0,12,86.png,tulips,orchids,0.8720579743385315,-45.192779541015625,In,-45.192779541015625,NA,Out,-33.571441650390625,4.692233562469482,500.0
