,Item_Number,file,Correct_Category,Correct_Softmax_Value,Correct_Softmax_Index,Estimated_Category,Estimated_Category_Index,Estimated_Category_Strength,Max_Confidence_Index_Value,Calculated_Confidence,Correct_Confidence,Confidence_Score
0,2,ILSVRC2012_val_00000800.JPEG,standard poodle,0.4443166553974152,267,standard poodle,267,0.4443166553974152,0,0.8576305508613586,0,0.8576305508613586
1,4,ILSVRC2012_val_00000578.JPEG,dugong,0.8873948454856873,149,"dugong, Dugong dugon",149,0.8873948454856873,0,0.8946684002876282,0,0.8946684002876282
2,14,ILSVRC2012_val_00001187.JPEG,admiral,0.8611404895782471,321,admiral,321,0.8611404895782471,0,0.8278372287750244,0,0.8278372287750244
3,15,ILSVRC2012_val_00000256.JPEG,dishrag,0.8463119268417358,533,"dishrag, dishcloth",533,0.8463119268417358,0,0.8361323475837708,0,0.8361323475837708
4,17,ILSVRC2012_val_00000801.JPEG,eggnog,0.01962398737668991,969,lotion,631,0.3060806691646576,0,0.7972878813743591,0,0.7972878813743591
5,18,ILSVRC2012_val_00001000.JPEG,china cabinet,0.8143650889396667,495,"china cabinet, china closet",495,0.8143650889396667,0,0.8544622659683228,0,0.8544622659683228
6,22,ILSVRC2012_val_00000784.JPEG,trailer truck,0.8573110103607178,867,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",867,0.8573110103607178,0,0.7880530953407288,0,0.7880530953407288
7,25,ILSVRC2012_val_00001384.JPEG,bath towel,0.8956859707832336,434,bath towel,434,0.8956859707832336,0,0.7733627557754517,0,0.7733627557754517
8,26,ILSVRC2012_val_00000424.JPEG,Afghan hound,0.8750059604644775,160,"Afghan hound, Afghan",160,0.8750059604644775,0,0.8087716698646545,0,0.8087716698646545
9,27,ILSVRC2012_val_00000402.JPEG,catamaran,0.132820725440979,484,trimaran,871,0.7102289795875549,0,0.7179684638977051,0,0.7179684638977051
10,28,ILSVRC2012_val_00000003.JPEG,Shetland sheepdog,0.7466451525688171,230,"Shetland sheepdog, Shetland sheep dog, Shetland",230,0.7466451525688171,0,0.8083726763725281,0,0.8083726763725281
11,31,ILSVRC2012_val_00000443.JPEG,artichoke,0.4437784254550934,944,"artichoke, globe artichoke",944,0.4437784254550934,0,0.7902449965476991,0,0.7902449965476991
12,33,ILSVRC2012_val_00001244.JPEG,Shih-Tzu,0.7835754156112671,155,Shih-Tzu,155,0.7835754156112671,0,0.8084362149238586,0,0.8084362149238586
13,36,ILSVRC2012_val_00001067.JPEG,American egret,0.883289635181427,132,"American egret, great white heron, Egretta albus",132,0.883289635181427,0,0.722528874874115,0,0.722528874874115
14,41,ILSVRC2012_val_00000916.JPEG,vulture,0.9118350744247437,23,vulture,23,0.9118350744247437,0,0.7866091728210449,0,0.7866091728210449
15,42,ILSVRC2012_val_00000155.JPEG,broccoli,0.8364736437797546,937,broccoli,937,0.8364736437797546,0,0.7646341919898987,0,0.7646341919898987
16,45,ILSVRC2012_val_00000753.JPEG,planetarium,0.8802512884140015,727,planetarium,727,0.8802512884140015,0,0.7864612936973572,0,0.7864612936973572
17,46,ILSVRC2012_val_00001131.JPEG,spotted salamander,0.8580964803695679,28,"spotted salamander, Ambystoma maculatum",28,0.8580964803695679,0,0.7692838311195374,0,0.7692838311195374
18,49,ILSVRC2012_val_00001295.JPEG,drumstick,0.4125476479530335,542,drumstick,542,0.4125476479530335,0,0.7873004078865051,0,0.7873004078865051
19,51,ILSVRC2012_val_00000735.JPEG,spoonbill,0.8713645339012146,129,spoonbill,129,0.8713645339012146,0,0.7951966524124146,0,0.7951966524124146
20,52,ILSVRC2012_val_00000122.JPEG,castle,0.843402624130249,483,castle,483,0.843402624130249,0,0.8039485216140747,0,0.8039485216140747
