Wall time,Step,Value
1543967508.761029,1,1.0
1543967617.7856536,2,0.9333333373069763
1543967725.0486543,3,1.0
1543967830.7511091,4,0.9666666388511658
1543967936.8830266,5,1.0
1543968042.9413247,6,1.0
1543968149.1383235,7,1.0
1543968254.4204748,8,0.9666666388511658
1543968360.6974754,9,0.9666666388511658
1543968468.4233541,10,0.9666666388511658
1543968575.504743,11,0.8666666746139526
1543968682.1721666,12,0.9666666388511658
1543968789.7903683,13,0.9333333373069763
1543968896.8383694,14,0.9666666388511658
1543969003.543026,15,0.8999999761581421
1543969110.9779413,16,1.0
1543969217.8702462,17,1.0
1543969325.0780501,18,0.9666666388511658
1543969432.5759444,19,1.0
1543969540.2019606,20,1.0
1543969647.7777855,21,0.9666666388511658
1543969754.9439483,22,1.0
1543969861.8049226,23,1.0
1543969968.973732,24,0.9666666388511658
1543970075.608583,25,0.9333333373069763
1543970182.5906725,26,0.9666666388511658
1543970290.3130834,27,0.9666666388511658
1543970397.2402282,28,1.0
1543970504.2645607,29,0.9666666388511658
