,Item_Number,file,Correct_Category,Estimated_Category,Max_Softmax_Value,Likelihood,In-vs-Out,In-Like,Out-Like,
0,0,000000228122.jpg,car,airplane,1,36.58279419,Out,NA,36.58279419,NA
0,1,000000449307.jpg,dog,horse,0.999011874,-5.442733765,Out,NA,-5.442733765,
0,2,000000518318.jpg,car,airplane,1,-75.0509491,Out,NA,-75.0509491,
0,3,000000219269.jpg,laptop,airplane,0.966397405,-54.78034973,Out,NA,-54.78034973,
0,4,000000335106.jpg,zebra,horse,0.999030232,70.54601288,Out,NA,70.54601288,
0,5,000000507266.jpg,cat,horse,1,-85.98786926,Out,NA,-85.98786926,
0,6,000000196506.jpg,cake,horse,0.999999285,-116.5601196,Out,NA,-116.5601196,
0,7,000000103877.jpg,cat,horse,0.940299571,-60.25465393,Out,NA,-60.25465393,
0,8,000000229035.jpg,laptop,airplane,0.997481048,-14.78108215,Out,NA,-14.78108215,
0,9,000000302928.jpg,laptop,airplane,0.993887722,-25.71965027,Out,NA,-25.71965027,
0,10,000000091442.jpg,car,airplane,0.973649621,-44.01971436,Out,NA,-44.01971436,
0,11,000000457041.jpg,dog,airplane,0.992079794,-82.65281677,Out,NA,-82.65281677,
0,12,000000424912.jpg,horse,horse,0.999937296,25.28877258,In,25.28877258,NA,
0,13,000000448627.jpg,cat,airplane,0.999336064,-39.46548462,Out,NA,-39.46548462,
0,14,000000432673.jpg,cat,airplane,0.999018669,-52.06677246,Out,NA,-52.06677246,
0,15,000000457734.jpg,car,horse,0.999389172,53.42056274,Out,NA,53.42056274,
0,16,000000122458.jpg,cat,horse,0.994749248,-75.34771729,Out,NA,-75.34771729,
0,17,000000277203.jpg,airplane,airplane,1,63.05776978,In,63.05776978,NA,
0,18,000000407693.jpg,book,airplane,0.996453762,-90.73979187,Out,NA,-90.73979187,
0,19,000000457342.jpg,cat,horse,0.998381376,-19.86929321,Out,NA,-19.86929321,
0,20,000000321517.jpg,car,airplane,0.971248686,-38.54089355,Out,NA,-38.54089355,
0,21,000000023793.jpg,horse,horse,1,-27.08026123,In,-27.08026123,NA,
0,22,000000056736.jpg,airplane,airplane,1,76.8298645,In,76.8298645,NA,
0,23,000000301649.jpg,book,airplane,0.708440244,-96.05683899,Out,NA,-96.05683899,
0,24,000000310780.jpg,cat,airplane,0.921453536,-107.5559235,Out,NA,-107.5559235,
0,25,000000031748.jpg,car,horse,0.999785721,-19.21969604,Out,NA,-19.21969604,
0,26,000000572075.jpg,cat,airplane,0.998743594,-70.42738342,Out,NA,-70.42738342,
0,27,000000465066.jpg,horse,horse,1,-75.97698975,In,-75.97698975,NA,
0,28,000000015268.jpg,pizza,airplane,0.55102098,-93.41203308,Out,NA,-93.41203308,
0,29,000000326472.jpg,zebra,horse,0.99973315,64.70675659,Out,NA,64.70675659,
0,30,000000490870.jpg,car,horse,0.999996543,-87.18147278,Out,NA,-87.18147278,
0,31,000000154257.jpg,horse,horse,0.997550189,37.49478912,In,37.49478912,NA,
0,32,000000458205.jpg,airplane,airplane,0.999998093,110.5507507,In,110.5507507,NA,
0,33,000000022928.jpg,dog,horse,0.990844309,-85.37512207,Out,NA,-85.37512207,
0,34,000000124873.jpg,car,airplane,0.695181847,-67.59089661,Out,NA,-67.59089661,
0,35,000000310716.jpg,zebra,horse,0.999465048,90.61391449,Out,NA,90.61391449,
0,36,000000171470.jpg,zebra,horse,0.999883294,-0.435058594,Out,NA,-0.435058594,
0,37,000000155245.jpg,pizza,horse,0.999998808,-92.75265503,Out,NA,-92.75265503,
0,38,000000171539.jpg,dog,airplane,0.999999881,-62.81381226,Out,NA,-62.81381226,
0,39,000000352162.jpg,horse,horse,0.999938846,-23.59277344,In,-23.59277344,NA,
0,40,000000376757.jpg,airplane,airplane,1,8.307815552,In,8.307815552,NA,
0,41,000000072538.jpg,cat,horse,0.999341071,-82.37013245,Out,NA,-82.37013245,
0,42,000000359684.jpg,car,airplane,0.999999881,-66.33410645,Out,NA,-66.33410645,
0,43,000000089273.jpg,pizza,airplane,0.859363854,-141.4573822,Out,NA,-141.4573822,
0,44,000000137412.jpg,laptop,airplane,0.999991179,-38.72685242,Out,NA,-38.72685242,
0,45,000000390933.jpg,car,airplane,0.999797404,-22.47114563,Out,NA,-22.47114563,
0,46,000000228881.jpg,car,horse,0.999998927,-73.49369812,Out,NA,-73.49369812,
0,47,000000384401.jpg,pizza,airplane,0.999985456,-86.75151062,Out,NA,-86.75151062,
0,48,000000063865.jpg,pizza,airplane,0.728722394,-65.37043762,Out,NA,-65.37043762,
0,49,000000289312.jpg,car,airplane,0.99998951,113.9643402,Out,NA,113.9643402,
0,50,000000482350.jpg,cat,airplane,0.999991179,-85.18571472,Out,NA,-85.18571472,
0,51,000000097492.jpg,book,airplane,0.999307513,-40.95352173,Out,NA,-40.95352173,
0,52,000000506226.jpg,cake,airplane,0.854483306,-69.95646667,Out,NA,-69.95646667,
