,Item_Number,file,Correct_Category,Estimated_Category,Max_Softmax_Value,Likelihood,In-vs-Out,In-Likelihood,Out-Likelihood,Mean_Part,Min_Part,Quarter_Part,
0,0,000000228122.jpg,car,airplane,1,42.19604492,Out,NA,42.19604492,In,In,In,NA
0,1,000000449307.jpg,dog,horse,0.999011874,-4.945770264,Out,NA,-4.945770264,In,In,In,Out
0,2,000000518318.jpg,car,airplane,1,-102.7501984,Out,NA,-102.7501984,Out,Out,Out,In
0,3,000000219269.jpg,laptop,airplane,0.966397405,-69.89424133,Out,NA,-69.89424133,Out,Out,Out,
0,4,000000335106.jpg,zebra,horse,0.999030232,88.83952332,Out,NA,88.83952332,In,In,In,
0,5,000000507266.jpg,cat,horse,1,-107.2689819,Out,NA,-107.2689819,Out,Out,Out,
0,6,000000196506.jpg,cake,horse,0.999999285,-143.4031067,Out,NA,-143.4031067,Out,Out,Out,
0,7,000000103877.jpg,cat,horse,0.940299571,-76.00726318,Out,NA,-76.00726318,Out,Out,Out,
0,8,000000229035.jpg,laptop,airplane,0.997481048,-21.21806335,Out,NA,-21.21806335,Out,Out,In,
0,9,000000302928.jpg,laptop,airplane,0.993887722,-38.18136597,Out,NA,-38.18136597,Out,Out,In,
0,10,000000091442.jpg,car,airplane,0.973649621,-54.1605072,Out,NA,-54.1605072,Out,Out,Out,
0,11,000000457041.jpg,dog,airplane,0.992079794,-114.0365753,Out,NA,-114.0365753,Out,Out,Out,
0,12,000000424912.jpg,horse,horse,0.999937296,31.94511414,In,31.94511414,NA,In,In,In,
0,13,000000448627.jpg,cat,airplane,0.999336064,-56.39820862,Out,NA,-56.39820862,Out,Out,Out,
0,14,000000432673.jpg,cat,airplane,0.999018669,-70.20072937,Out,NA,-70.20072937,Out,Out,Out,
0,15,000000457734.jpg,car,horse,0.999389172,61.67952728,Out,NA,61.67952728,In,In,In,
0,16,000000122458.jpg,cat,horse,0.994749248,-89.72088623,Out,NA,-89.72088623,Out,Out,Out,
0,17,000000277203.jpg,airplane,airplane,1,81.84812927,In,81.84812927,NA,In,In,In,
0,18,000000407693.jpg,book,airplane,0.996453762,-134.242691,Out,NA,-134.242691,Out,Out,Out,
0,19,000000457342.jpg,cat,horse,0.998381376,-30.28572083,Out,NA,-30.28572083,Out,Out,In,
0,20,000000321517.jpg,car,airplane,0.971248686,-40.72518921,Out,NA,-40.72518921,Out,Out,In,
0,21,000000023793.jpg,horse,horse,1,-39.70223999,In,-39.70223999,NA,Out,Out,In,
0,22,000000056736.jpg,airplane,airplane,1,116.1116028,In,116.1116028,NA,In,In,In,
0,23,000000301649.jpg,book,airplane,0.708440244,-127.4496002,Out,NA,-127.4496002,Out,Out,Out,
0,24,000000310780.jpg,cat,airplane,0.921453536,-151.7994537,Out,NA,-151.7994537,Out,Out,Out,
0,25,000000031748.jpg,car,horse,0.999785721,-22.89039612,Out,NA,-22.89039612,Out,Out,In,
0,26,000000572075.jpg,cat,airplane,0.998743594,-94.50813293,Out,NA,-94.50813293,Out,Out,Out,
0,27,000000465066.jpg,horse,horse,1,-79.23950195,In,-79.23950195,NA,Out,Out,Out,
0,28,000000015268.jpg,pizza,airplane,0.55102098,-127.6222687,Out,NA,-127.6222687,Out,Out,Out,
0,29,000000326472.jpg,zebra,horse,0.99973315,80.65402222,Out,NA,80.65402222,In,In,In,
0,30,000000490870.jpg,car,horse,0.999996543,-110.9747925,Out,NA,-110.9747925,Out,Out,Out,
0,31,000000154257.jpg,horse,horse,0.997550189,29.10980225,In,29.10980225,NA,In,In,In,
0,32,000000458205.jpg,airplane,airplane,0.999998093,132.7920227,In,132.7920227,NA,In,In,In,
0,33,000000022928.jpg,dog,horse,0.990844309,-113.33255,Out,NA,-113.33255,Out,Out,Out,
0,34,000000124873.jpg,car,airplane,0.695181847,-95.58418274,Out,NA,-95.58418274,Out,Out,Out,
0,35,000000310716.jpg,zebra,horse,0.999465048,93.71176147,Out,NA,93.71176147,In,In,In,
0,36,000000171470.jpg,zebra,horse,0.999883294,-9.566680908,Out,NA,-9.566680908,In,In,In,
0,37,000000155245.jpg,pizza,horse,0.999998808,-131.4310913,Out,NA,-131.4310913,Out,Out,Out,
0,38,000000171539.jpg,dog,airplane,0.999999881,-86.10316467,Out,NA,-86.10316467,Out,Out,Out,
0,39,000000352162.jpg,horse,horse,0.999938846,-35.20239258,In,-35.20239258,NA,Out,Out,In,
0,40,000000376757.jpg,airplane,airplane,1,-10.55479431,In,-10.55479431,NA,In,In,In,
0,41,000000072538.jpg,cat,horse,0.999341071,-111.0151672,Out,NA,-111.0151672,Out,Out,Out,
0,42,000000359684.jpg,car,airplane,0.999999881,-83.66835022,Out,NA,-83.66835022,Out,Out,Out,
0,43,000000089273.jpg,pizza,airplane,0.859363854,-183.801712,Out,NA,-183.801712,Out,Out,Out,
0,44,000000137412.jpg,laptop,airplane,0.999991179,-53.36677551,Out,NA,-53.36677551,Out,Out,Out,
0,45,000000390933.jpg,car,airplane,0.999797404,-42.23506165,Out,NA,-42.23506165,Out,Out,In,
0,46,000000228881.jpg,car,horse,0.999998927,-87.63922119,Out,NA,-87.63922119,Out,Out,Out,
0,47,000000384401.jpg,pizza,airplane,0.999985456,-117.6637421,Out,NA,-117.6637421,Out,Out,Out,
0,48,000000063865.jpg,pizza,airplane,0.728722394,-77.32643127,Out,NA,-77.32643127,Out,Out,Out,
0,49,000000289312.jpg,car,airplane,0.99998951,115.7426682,Out,NA,115.7426682,In,In,In,
0,50,000000482350.jpg,cat,airplane,0.999991179,-107.918045,Out,NA,-107.918045,Out,Out,Out,
0,51,000000097492.jpg,book,airplane,0.999307513,-55.72106934,Out,NA,-55.72106934,Out,Out,Out,
0,52,000000506226.jpg,cake,airplane,0.854483306,-89.08763123,Out,NA,-89.08763123,Out,Out,Out,
0,53,000000227012.jpg,car,horse,0.765607893,-102.0132141,Out,NA,-102.0132141,Out,Out,Out,
0,54,000000137661.jpg,zebra,horse,0.999970198,-31.54205322,Out,NA,-31.54205322,Out,Out,In,
0,55,000000113579.jpg,horse,horse,0.999975801,63.58808899,In,63.58808899,NA,In,In,In,
0,56,000000293591.jpg,zebra,horse,0.982972622,-13.06356812,Out,NA,-13.06356812,In,In,In,
0,57,000000389258.jpg,car,airplane,0.732892513,-34.47596741,Out,NA,-34.47596741,Out,Out,In,
0,58,000000268643.jpg,airplane,airplane,0.999998808,-3.160705566,In,-3.160705566,NA,In,In,In,
0,59,000000025853.jpg,car,airplane,0.96593827,-80.87236023,Out,NA,-80.87236023,Out,Out,Out,
0,60,000000211852.jpg,dog,horse,0.684013426,-44.32260132,Out,NA,-44.32260132,Out,Out,In,
0,61,000000193293.jpg,car,airplane,1,33.79446411,Out,NA,33.79446411,In,In,In,
0,62,000000137507.jpg,cat,horse,0.662259161,-77.03369141,Out,NA,-77.03369141,Out,Out,Out,
0,63,000000096615.jpg,pizza,horse,0.781433403,-107.0380859,Out,NA,-107.0380859,Out,Out,Out,
0,64,000000062204.jpg,car,airplane,0.999374688,-44.6993103,Out,NA,-44.6993103,Out,Out,In,
0,65,000000522191.jpg,car,airplane,0.984496593,18.80596924,Out,NA,18.80596924,In,In,In,
0,66,000000310672.jpg,dog,horse,0.99104017,-67.14659119,Out,NA,-67.14659119,Out,Out,Out,
0,67,000000466818.jpg,laptop,airplane,0.999982119,-110.5701141,Out,NA,-110.5701141,Out,Out,Out,
0,68,000000421915.jpg,car,airplane,0.999996424,-66.84884644,Out,NA,-66.84884644,Out,Out,Out,
0,69,000000458175.jpg,horse,horse,0.999999404,1.853546143,In,1.853546143,NA,In,In,In,
0,70,000000343455.jpg,pizza,airplane,0.999999523,-103.814682,Out,NA,-103.814682,Out,Out,Out,
0,71,000000449485.jpg,book,airplane,0.993602335,-89.56632996,Out,NA,-89.56632996,Out,Out,Out,
0,72,000000091917.jpg,car,horse,0.999937415,-51.17008972,Out,NA,-51.17008972,Out,Out,Out,
0,73,000000391966.jpg,car,airplane,0.999977231,-94.96864319,Out,NA,-94.96864319,Out,Out,Out,
0,74,000000499168.jpg,horse,horse,0.99998045,-73.34928894,In,-73.34928894,NA,Out,Out,Out,
0,75,000000047882.jpg,book,horse,0.849552274,-48.25448608,Out,NA,-48.25448608,Out,Out,In,
0,76,000000163002.jpg,airplane,airplane,1,72.24275208,In,72.24275208,NA,In,In,In,
0,77,000000399465.jpg,book,airplane,1,-38.94529724,Out,NA,-38.94529724,Out,Out,In,
0,78,000000548772.jpg,cake,horse,0.967738867,-131.3700562,Out,NA,-131.3700562,Out,Out,Out,
0,79,000000449599.jpg,cat,airplane,0.99992609,-101.673172,Out,NA,-101.673172,Out,Out,Out,
0,80,000000105611.jpg,dog,horse,0.766606867,-90.76249695,Out,NA,-90.76249695,Out,Out,Out,
0,81,000000487036.jpg,car,horse,0.999978781,-64.561203,Out,NA,-64.561203,Out,Out,Out,
0,82,000000515803.jpg,laptop,airplane,0.999716461,-56.66539001,Out,NA,-56.66539001,Out,Out,Out,
0,83,000000491250.jpg,laptop,airplane,1,-64.28695679,Out,NA,-64.28695679,Out,Out,Out,
0,84,000000106023.jpg,zebra,horse,0.999737203,-9.299804688,Out,NA,-9.299804688,In,In,In,
0,85,000000400139.jpg,cake,airplane,0.999949574,-109.9983673,Out,NA,-109.9983673,Out,Out,Out,
0,86,000000047405.jpg,airplane,airplane,0.999996662,52.74562073,In,52.74562073,NA,In,In,In,
0,87,000000400216.jpg,dog,horse,0.999999881,-117.3558655,Out,NA,-117.3558655,Out,Out,Out,
0,88,000000040842.jpg,cat,airplane,0.862309039,-65.4425354,Out,NA,-65.4425354,Out,Out,Out,
0,89,000000277916.jpg,cake,horse,0.999708235,-178.0162964,Out,NA,-178.0162964,Out,Out,Out,
0,90,000000457033.jpg,horse,horse,0.999023199,-46.15597534,In,-46.15597534,NA,Out,Out,In,
0,91,000000256431.jpg,car,airplane,0.95515871,-125.7353058,Out,NA,-125.7353058,Out,Out,Out,
0,92,000000383934.jpg,pizza,horse,0.653404057,-89.34368896,Out,NA,-89.34368896,Out,Out,Out,
0,93,000000059641.jpg,car,airplane,1,-25.51216125,Out,NA,-25.51216125,Out,Out,In,
0,94,000000392725.jpg,cake,airplane,0.999997377,-139.7570953,Out,NA,-139.7570953,Out,Out,Out,
0,95,000000425609.jpg,cake,airplane,0.962764978,-139.7941742,Out,NA,-139.7941742,Out,Out,Out,
0,96,000000064141.jpg,pizza,airplane,0.979650378,-87.20906067,Out,NA,-87.20906067,Out,Out,Out,
0,97,000000203206.jpg,laptop,airplane,0.999999404,-50.40301514,Out,NA,-50.40301514,Out,Out,In,
0,98,000000261485.jpg,car,airplane,0.999984264,-116.5363312,Out,NA,-116.5363312,Out,Out,Out,
0,99,000000564061.jpg,airplane,airplane,0.999804676,-107.2777252,In,-107.2777252,NA,Out,Out,Out,
0,100,000000483288.jpg,airplane,airplane,1,-2.277984619,In,-2.277984619,NA,In,In,In,
0,101,000000310606.jpg,laptop,airplane,1,-27.71844482,Out,NA,-27.71844482,Out,Out,In,
0,102,000000386514.jpg,car,airplane,0.98331809,-57.56289673,Out,NA,-57.56289673,Out,Out,Out,
0,103,000000580408.jpg,book,horse,0.998473704,-90.1729126,Out,NA,-90.1729126,Out,Out,Out,
0,104,000000245503.jpg,airplane,airplane,1,70.92015076,In,70.92015076,NA,In,In,In,
0,105,000000343153.jpg,dog,horse,0.999999285,-102.1801453,Out,NA,-102.1801453,Out,Out,Out,
0,106,000000269511.jpg,cat,airplane,0.99723947,-197.8047943,Out,NA,-197.8047943,Out,Out,Out,
0,107,000000189017.jpg,car,airplane,0.999998093,-101.7134552,Out,NA,-101.7134552,Out,Out,Out,
0,108,000000228450.jpg,book,airplane,0.999997616,-38.31729126,Out,NA,-38.31729126,Out,Out,In,
0,109,000000088556.jpg,airplane,airplane,0.999997139,98.30548859,In,98.30548859,NA,In,In,In,
0,110,000000473634.jpg,cat,airplane,0.998682916,-59.85751343,Out,NA,-59.85751343,Out,Out,Out,
0,111,000000486388.jpg,car,airplane,0.999999285,-74.06874084,Out,NA,-74.06874084,Out,Out,Out,
