Item_Number,file,Correct_Category,Estimated_Category,Max_Softmax_Value,Likelihood,In-vs-Out,In-Likelihood,Out-Likelihood
0,000000228122.jpg,car,airplane,0.801573396,-12.38491821,Out,NA,-12.38491821
1,000000449307.jpg,dog,horse,0.998599231,-74.41986084,Out,NA,-74.41986084
2,000000518318.jpg,car,airplane,0.988996625,-16.62120056,Out,NA,-16.62120056
3,000000219269.jpg,laptop,horse,0.966692328,-12.92799377,Out,NA,-12.92799377
4,000000335106.jpg,zebra,horse,0.999281228,8.257274628,Out,NA,8.257274628
5,000000507266.jpg,cat,horse,0.999995351,-36.51223755,Out,NA,-36.51223755
6,000000196506.jpg,cake,horse,0.999735892,-22.8948288,Out,NA,-22.8948288
7,000000103877.jpg,cat,horse,0.976598263,-21.57016754,Out,NA,-21.57016754
8,000000229035.jpg,laptop,horse,0.816474438,7.40983963,Out,NA,7.40983963
9,000000302928.jpg,laptop,horse,0.815688968,-29.32980347,Out,NA,-29.32980347
10,000000091442.jpg,car,airplane,0.767370224,-43.46150208,Out,NA,-43.46150208
11,000000457041.jpg,dog,horse,0.962871552,-49.51329041,Out,NA,-49.51329041
12,000000424912.jpg,horse,horse,0.999088049,7.172683716,In,7.172683716,NA
13,000000448627.jpg,cat,horse,0.554359078,7.191688538,Out,NA,7.191688538
14,000000432673.jpg,cat,airplane,0.670164764,4.826332092,Out,NA,4.826332092
15,000000457734.jpg,car,horse,0.999105394,10.79920959,Out,NA,10.79920959
16,000000122458.jpg,cat,horse,0.982214749,-37.91455078,Out,NA,-37.91455078
17,000000277203.jpg,airplane,airplane,0.999463379,53.37566376,In,53.37566376,NA
18,000000407693.jpg,book,airplane,0.610134602,-23.19535828,Out,NA,-23.19535828
19,000000457342.jpg,cat,horse,0.989363253,-26.77297974,Out,NA,-26.77297974
20,000000321517.jpg,car,horse,0.939680636,12.80902863,Out,NA,12.80902863
21,000000023793.jpg,horse,horse,0.999613464,2.459716797,In,2.459716797,NA
22,000000056736.jpg,airplane,airplane,0.999592245,50.03622818,In,50.03622818,NA
23,000000301649.jpg,book,horse,0.96941179,-52.61083221,Out,NA,-52.61083221
24,000000310780.jpg,cat,horse,0.976101458,-33.99053192,Out,NA,-33.99053192
25,000000031748.jpg,car,horse,0.992359221,-55.01680756,Out,NA,-55.01680756
26,000000572075.jpg,cat,horse,0.936765969,-18.02124023,Out,NA,-18.02124023
27,000000465066.jpg,horse,horse,0.999987245,-38.04769135,In,-38.04769135,NA
28,000000015268.jpg,pizza,horse,0.78607744,-40.21569824,Out,NA,-40.21569824
29,000000326472.jpg,zebra,horse,0.999277771,9.937000275,Out,NA,9.937000275
30,000000490870.jpg,car,horse,0.998292267,-51.79763031,Out,NA,-51.79763031
31,000000154257.jpg,horse,horse,0.994352102,-6.823501587,In,-6.823501587,NA
32,000000458205.jpg,airplane,airplane,0.999607623,103.7472382,In,103.7472382,NA
33,000000022928.jpg,dog,horse,0.887071729,-47.62893677,Out,NA,-47.62893677
34,000000124873.jpg,car,horse,0.973350286,-47.60361481,Out,NA,-47.60361481
35,000000310716.jpg,zebra,horse,0.999029398,12.48321915,Out,NA,12.48321915
36,000000171470.jpg,zebra,horse,0.999180377,-24.77488708,Out,NA,-24.77488708
37,000000155245.jpg,pizza,horse,0.999624372,-12.30393219,Out,NA,-12.30393219
38,000000171539.jpg,dog,horse,0.878573716,-118.4658661,Out,NA,-118.4658661
39,000000352162.jpg,horse,horse,0.999599159,-5.276176453,In,-5.276176453,NA
40,000000376757.jpg,airplane,airplane,0.999982119,15.22769928,In,15.22769928,NA
41,000000072538.jpg,cat,horse,0.988403618,-22.02275848,Out,NA,-22.02275848
42,000000359684.jpg,car,airplane,0.993421137,-34.15379333,Out,NA,-34.15379333
43,000000089273.jpg,pizza,horse,0.870279431,-21.71626282,Out,NA,-21.71626282
44,000000137412.jpg,laptop,airplane,0.906348288,-26.64450836,Out,NA,-26.64450836
45,000000390933.jpg,car,airplane,0.778980613,-26.25691986,Out,NA,-26.25691986
46,000000228881.jpg,car,horse,0.924696565,-12.0491333,Out,NA,-12.0491333
47,000000384401.jpg,pizza,airplane,0.561858714,-26.29543304,Out,NA,-26.29543304
48,000000063865.jpg,pizza,horse,0.611037552,-23.64929199,Out,NA,-23.64929199
49,000000289312.jpg,car,airplane,0.999577343,95.68696594,Out,NA,95.68696594
50,000000482350.jpg,cat,horse,0.545097709,-33.38533783,Out,NA,-33.38533783
51,000000097492.jpg,book,horse,0.725059032,8.245258331,Out,NA,8.245258331
52,000000506226.jpg,cake,horse,0.952584743,-6.697143555,Out,NA,-6.697143555
53,000000227012.jpg,car,airplane,0.643445015,-49.55358887,Out,NA,-49.55358887
54,000000137661.jpg,zebra,horse,0.999522805,-32.62310028,Out,NA,-32.62310028
55,000000113579.jpg,horse,horse,0.999424458,29.4030304,In,29.4030304,NA
56,000000293591.jpg,zebra,horse,0.9971506,17.35707092,Out,NA,17.35707092
57,000000389258.jpg,car,airplane,0.808353543,-59.69296265,Out,NA,-59.69296265
58,000000268643.jpg,airplane,airplane,0.998617172,-31.60379028,In,-31.60379028,NA
59,000000025853.jpg,car,horse,0.713125467,-18.62948608,Out,NA,-18.62948608
60,000000211852.jpg,dog,horse,0.914078712,-64.83216858,Out,NA,-64.83216858
61,000000193293.jpg,car,airplane,0.883381486,-21.30259705,Out,NA,-21.30259705
62,000000137507.jpg,cat,horse,0.937556207,-26.1287384,Out,NA,-26.1287384
63,000000096615.jpg,pizza,horse,0.918839157,-36.67314911,Out,NA,-36.67314911
64,000000062204.jpg,car,airplane,0.661197662,12.36277008,Out,NA,12.36277008
65,000000522191.jpg,car,airplane,0.794116616,-76.19831848,Out,NA,-76.19831848
66,000000310672.jpg,dog,horse,0.994639933,-25.28027344,Out,NA,-25.28027344
67,000000466818.jpg,laptop,airplane,0.92190814,-110.2569427,Out,NA,-110.2569427
68,000000421915.jpg,car,horse,0.9763183,-108.8929749,Out,NA,-108.8929749
69,000000458175.jpg,horse,horse,0.999277651,-12.42189789,In,-12.42189789,NA
70,000000343455.jpg,pizza,airplane,0.954444587,-6.625648499,Out,NA,-6.625648499
71,000000449485.jpg,book,horse,0.946178973,-26.08881378,Out,NA,-26.08881378
72,000000091917.jpg,car,horse,0.96569109,-2.224830627,Out,NA,-2.224830627
73,000000391966.jpg,car,airplane,0.739123404,-25.28536987,Out,NA,-25.28536987
74,000000499168.jpg,horse,horse,0.998021722,-27.20093536,In,-27.20093536,NA
75,000000047882.jpg,book,horse,0.963808358,-60.78295898,Out,NA,-60.78295898
76,000000163002.jpg,airplane,airplane,0.9999789,23.56249237,In,23.56249237,NA
77,000000399465.jpg,book,airplane,0.963070929,-30.29556274,Out,NA,-30.29556274
78,000000548772.jpg,cake,horse,0.905678868,-23.60772705,Out,NA,-23.60772705
79,000000449599.jpg,cat,airplane,0.805575252,-42.19198608,Out,NA,-42.19198608
80,000000105611.jpg,dog,horse,0.774137318,-58.90193176,Out,NA,-58.90193176
81,000000487036.jpg,car,horse,0.895575702,-31.59249878,Out,NA,-31.59249878
82,000000515803.jpg,laptop,airplane,0.813271463,-23.90497589,Out,NA,-23.90497589
83,000000491250.jpg,laptop,airplane,0.91894716,-46.33320618,Out,NA,-46.33320618
84,000000106023.jpg,zebra,horse,0.999164701,-18.64485931,Out,NA,-18.64485931
85,000000400139.jpg,cake,horse,0.58424592,-24.62775421,Out,NA,-24.62775421
86,000000047405.jpg,airplane,airplane,0.999544322,-3.306716919,In,-3.306716919,NA
87,000000400216.jpg,dog,horse,0.99712342,-39.91949463,Out,NA,-39.91949463
88,000000040842.jpg,cat,horse,0.757461786,-6.835617065,Out,NA,-6.835617065
89,000000277916.jpg,cake,horse,0.99784255,-16.99196625,Out,NA,-16.99196625
90,000000457033.jpg,horse,horse,0.995686948,-16.25353241,In,-16.25353241,NA
91,000000256431.jpg,car,airplane,0.631386936,-46.17579651,Out,NA,-46.17579651
92,000000383934.jpg,pizza,horse,0.75752604,-13.55361938,Out,NA,-13.55361938
93,000000059641.jpg,car,airplane,0.96487534,-57.09182739,Out,NA,-57.09182739
94,000000392725.jpg,cake,airplane,0.602935016,-81.49464417,Out,NA,-81.49464417
95,000000425609.jpg,cake,horse,0.748766541,-50.70689392,Out,NA,-50.70689392
96,000000064141.jpg,pizza,horse,0.702150643,-2.270133972,Out,NA,-2.270133972
97,000000203206.jpg,laptop,airplane,0.868345201,-28.76573181,Out,NA,-28.76573181
98,000000261485.jpg,car,airplane,0.889991343,-67.19937134,Out,NA,-67.19937134
99,000000564061.jpg,airplane,airplane,0.941274464,-21.1749649,In,-21.1749649,NA
100,000000483288.jpg,airplane,airplane,0.999992013,-30.40525055,In,-30.40525055,NA
101,000000310606.jpg,laptop,airplane,0.971274197,-39.15730286,Out,NA,-39.15730286
102,000000386514.jpg,car,horse,0.988722682,-1.998291016,Out,NA,-1.998291016
103,000000580408.jpg,book,horse,0.989619911,-35.13308716,Out,NA,-35.13308716
104,000000245503.jpg,airplane,airplane,0.999905705,46.1028862,In,46.1028862,NA
105,000000343153.jpg,dog,horse,0.996229947,-36.3731308,Out,NA,-36.3731308
106,000000269511.jpg,cat,horse,0.982613385,-46.89698029,Out,NA,-46.89698029
107,000000189017.jpg,car,airplane,0.773314953,-10.74288177,Out,NA,-10.74288177
108,000000228450.jpg,book,airplane,0.719854653,-8.264076233,Out,NA,-8.264076233
109,000000088556.jpg,airplane,airplane,0.999571621,80.67692566,In,80.67692566,NA
110,000000473634.jpg,cat,horse,0.695962667,-87.99749756,Out,NA,-87.99749756
111,000000486388.jpg,car,horse,0.574013472,-51.94369507,Out,NA,-51.94369507
112,000000564330.jpg,cat,horse,0.992124021,-29.26977539,Out,NA,-29.26977539
113,000000556739.jpg,car,horse,0.945313156,3.546417236,Out,NA,3.546417236
114,000000320333.jpg,car,horse,0.560873628,-2.480270386,Out,NA,-2.480270386
115,000000291048.jpg,car,horse,0.895079017,-40.20561218,Out,NA,-40.20561218
116,000000564611.jpg,cat,horse,0.992471814,-42.41838837,Out,NA,-42.41838837
117,000000457384.jpg,cat,horse,0.993426919,-11.84526062,Out,NA,-11.84526062
118,000000522708.jpg,car,horse,0.973490417,-10.05366516,Out,NA,-10.05366516
119,000000040842.jpg,laptop,horse,0.757461786,-6.835617065,Out,NA,-6.835617065
120,000000355657.jpg,car,airplane,0.993460655,-90.08883667,Out,NA,-90.08883667
121,000000360346.jpg,airplane,airplane,0.998059452,8.134002686,In,8.134002686,NA
122,000000191042.jpg,car,horse,0.73507297,-28.66957092,Out,NA,-28.66957092
123,000000027104.jpg,car,airplane,0.630191803,-7.189483643,Out,NA,-7.189483643
124,000000032677.jpg,cat,horse,0.714883327,-41.79289246,Out,NA,-41.79289246
125,000000419056.jpg,car,horse,0.813578546,3.320007324,Out,NA,3.320007324
126,000000245345.jpg,cake,horse,0.999536753,-22.08463287,Out,NA,-22.08463287
127,000000523278.jpg,pizza,airplane,0.608233213,-21.27872467,Out,NA,-21.27872467
128,000000225848.jpg,car,horse,0.708572745,2.365310669,Out,NA,2.365310669
129,000000121229.jpg,cat,horse,0.737348497,4.009109497,Out,NA,4.009109497
130,000000055809.jpg,dog,horse,0.9999336,-41.07675934,Out,NA,-41.07675934
131,000000481974.jpg,horse,horse,0.927853048,-22.21607208,In,-22.21607208,NA
132,000000507224.jpg,laptop,horse,0.999315858,-44.69005585,Out,NA,-44.69005585
133,000000555574.jpg,cat,horse,0.796686053,-30.87204742,Out,NA,-30.87204742
134,000000522405.jpg,cat,horse,0.713340819,-24.63224792,Out,NA,-24.63224792
135,000000073567.jpg,dog,horse,0.998960853,-64.03601074,Out,NA,-64.03601074
136,000000571773.jpg,cat,horse,0.971382678,-1.639099121,Out,NA,-1.639099121
137,000000473720.jpg,pizza,horse,0.962741375,-7.549873352,Out,NA,-7.549873352
138,000000556694.jpg,horse,horse,0.99540329,9.550216675,In,9.550216675,NA
139,000000032284.jpg,car,airplane,0.632162571,-37.97254944,Out,NA,-37.97254944
140,000000384986.jpg,zebra,horse,0.999325275,10.06061935,Out,NA,10.06061935
141,000000106326.jpg,zebra,horse,0.998870432,3.379669189,Out,NA,3.379669189
142,000000235945.jpg,book,horse,0.989198983,-29.78039551,Out,NA,-29.78039551
143,000000563763.jpg,cake,horse,0.824967206,-23.40268707,Out,NA,-23.40268707
144,000000178431.jpg,dog,horse,0.910245717,1.408653259,Out,NA,1.408653259
145,000000384935.jpg,dog,horse,0.939623773,-31.34114838,Out,NA,-31.34114838
146,000000064629.jpg,airplane,airplane,0.999300361,84.80219269,In,84.80219269,NA
147,000000253335.jpg,horse,horse,0.999963284,-10.55407715,In,-10.55407715,NA
148,000000292146.jpg,car,horse,0.855797648,-34.88452148,Out,NA,-34.88452148
149,000000285499.jpg,airplane,airplane,0.999887109,-7.108520508,In,-7.108520508,NA
150,000000400642.jpg,dog,horse,0.876527667,-19.0843811,Out,NA,-19.0843811
151,000000062276.jpg,car,airplane,0.737679005,-16.95465851,Out,NA,-16.95465851
152,000000326517.jpg,airplane,airplane,0.999904513,26.13754654,In,26.13754654,NA
153,000000058651.jpg,car,horse,0.99786818,6.112155914,Out,NA,6.112155914
154,000000523594.jpg,dog,horse,0.552122414,-22.57319641,Out,NA,-22.57319641
155,000000392717.jpg,car,horse,0.997591138,-27.43296051,Out,NA,-27.43296051
156,000000072715.jpg,book,horse,0.959062159,-64.06051636,Out,NA,-64.06051636
157,000000203778.jpg,cat,horse,0.530746698,-13.8934021,Out,NA,-13.8934021
158,000000155549.jpg,dog,horse,0.999916792,-26.73162842,Out,NA,-26.73162842
159,000000498856.jpg,book,horse,0.977481008,-15.31258392,Out,NA,-15.31258392
160,000000032597.jpg,cat,horse,0.908827722,-13.27719116,Out,NA,-13.27719116
161,000000121902.jpg,cake,airplane,0.516589999,-26.96615601,Out,NA,-26.96615601
162,000000113293.jpg,laptop,horse,0.942249477,-5.302444458,Out,NA,-5.302444458
163,000000155448.jpg,book,horse,0.965084255,-23.33341217,Out,NA,-23.33341217
164,000000491440.jpg,car,airplane,0.730918348,-22.2986145,Out,NA,-22.2986145
165,000000522704.jpg,laptop,airplane,0.681830406,-48.61868286,Out,NA,-48.61868286
166,000000400525.jpg,laptop,airplane,0.767573953,-1.878929138,Out,NA,-1.878929138
167,000000458027.jpg,car,horse,0.999993086,-21.59095001,Out,NA,-21.59095001
168,000000581499.jpg,airplane,airplane,0.999240875,37.04214478,In,37.04214478,NA
169,000000515895.jpg,horse,horse,0.96982801,-40.91306305,In,-40.91306305,NA
170,000000064710.jpg,dog,horse,0.999902844,-5.130775452,Out,NA,-5.130775452
171,000000556492.jpg,car,horse,0.952557504,-52.92857361,Out,NA,-52.92857361
172,000000170706.jpg,airplane,airplane,0.999359906,101.9331665,In,101.9331665,NA
173,000000253773.jpg,cat,horse,0.995520949,-50.01059723,Out,NA,-50.01059723
174,000000138189.jpg,book,horse,0.732280076,-53.17550659,Out,NA,-53.17550659
175,000000112887.jpg,cake,horse,0.942291617,-20.97865295,Out,NA,-20.97865295
176,000000554114.jpg,car,horse,0.992340326,-83.08300781,Out,NA,-83.08300781
177,000000518667.jpg,car,horse,0.802799702,-38.27184296,Out,NA,-38.27184296
178,000000487059.jpg,car,horse,0.932207704,-18.97774506,Out,NA,-18.97774506
